MovieId,ImdbId,Director,Cast
1,114709,John Lasseter,Tom Hanks|Tim Allen|Don Rickles|See full cast &amp; crew|
2,113497,Joe Johnston,Robin Williams|Kirsten Dunst|Bonnie Hunt|See full cast &amp; crew|
3,113228,Howard Deutch,Walter Matthau|Jack Lemmon|Ann-Margret|See full cast &amp; crew|
4,114885,Forest Whitaker,Whitney Houston|Angela Bassett|Loretta Devine|See full cast &amp; crew|
5,113041,Charles Shyer,Steve Martin|Diane Keaton|Martin Short|See full cast &amp; crew|
6,113277,Michael Mann,Al Pacino|Robert De Niro|Val Kilmer|See full cast &amp; crew|
7,114319,Sydney Pollack,Harrison Ford|Julia Ormond|Greg Kinnear|See full cast &amp; crew|
8,112302,Peter Hewitt,Jonathan Taylor Thomas|Brad Renfro|Charles Rocket|See full cast &amp; crew|
9,114576,Peter Hyams,Jean-Claude Van Damme|Powers Boothe|Raymond J. Barry|See full cast &amp; crew|
10,113189,Martin Campbell,Pierce Brosnan|Sean Bean|Izabella Scorupco|See full cast &amp; crew|
11,112346,Rob Reiner,Michael Douglas|Annette Bening|Martin Sheen|See full cast &amp; crew|
12,112896,Mel Brooks,Leslie Nielsen|Mel Brooks|Peter MacNicol|See full cast &amp; crew|
13,112453,Simon Wells,Kevin Bacon|Bob Hoskins|Bridget Fonda|See full cast &amp; crew|
14,113987,Oliver Stone,Anthony Hopkins|Joan Allen|Powers Boothe|See full cast &amp; crew|
15,112760,Renny Harlin,Geena Davis|Matthew Modine|Frank Langella|See full cast &amp; crew|
16,112641,Martin Scorsese,Robert De Niro|Sharon Stone|Joe Pesci|See full cast &amp; crew|
17,114388,Ang Lee,Emma Thompson|Kate Winslet|James Fleet|See full cast &amp; crew|
18,113101,Allison Anders,Tim Roth|Antonio Banderas|Sammi Davis|See full cast &amp; crew|
19,112281,Steve Oedekerk,Jim Carrey|Ian McNeice|Simon Callow|See full cast &amp; crew|
20,113845,Joseph Ruben,Wesley Snipes|Woody Harrelson|Jennifer Lopez|See full cast &amp; crew|
21,113161,Barry Sonnenfeld,Gene Hackman|Rene Russo|Danny DeVito|See full cast &amp; crew|
22,112722,Jon Amiel,Sigourney Weaver|Holly Hunter|Dermot Mulroney|See full cast &amp; crew|
23,112401,Richard Donner,Sylvester Stallone|Antonio Banderas|Julianne Moore|See full cast &amp; crew|
24,114168,Victor Salva,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen|See full cast &amp; crew|
25,113627,Mike Figgis,Nicolas Cage|Elisabeth Shue|Julian Sands|See full cast &amp; crew|
26,114057,Oliver Parker,Laurence Fishburne|Kenneth Branagh|Irène Jacob|See full cast &amp; crew|
27,114011,Lesli Linka Glatter,Christina Ricci|Demi Moore|Rosie O'Donnell|See full cast &amp; crew|
28,114117,Roger Michell,Amanda Root|Ciarán Hinds|Susan Fleetwood|See full cast &amp; crew|
29,112682,Marc Caro,Ron Perlman|Daniel Emilfork|Judith Vittet|See full cast &amp; crew|
30,115012,Yimou Zhang,Li Gong|Baotian Li|Xiaoxiao Wang|See full cast &amp; crew|
31,112792,John N. Smith,Michelle Pfeiffer|George Dzundza|Courtney B. Vance|See full cast &amp; crew|
32,114746,Terry Gilliam,Bruce Willis|Madeleine Stowe|Brad Pitt|See full cast &amp; crew|
34,112431,Chris Noonan,James Cromwell|Magda Szubanski|Christine Cavanaugh|See full cast &amp; crew|
36,112818,Tim Robbins,Susan Sarandon|Sean Penn|Robert Prosky|See full cast &amp; crew|
38,113442,Andy Tennant,Kirstie Alley|Steve Guttenberg|Mary-Kate Olsen|See full cast &amp; crew|
39,112697,Amy Heckerling,Alicia Silverstone|Stacey Dash|Brittany Murphy|See full cast &amp; crew|
40,112749,Darrell Roodt,Richard Harris|James Earl Jones|Vusi Kunene|See full cast &amp; crew|
41,114279,Richard Loncraine,Ian McKellen|Annette Bening|Christopher Bowen|See full cast &amp; crew|
42,112819,Albert Hughes,Larenz Tate|Keith David|Chris Tucker|See full cast &amp; crew|
43,114272,Michael Hoffman,Robert Downey Jr.|Sam Neill|David Thewlis|See full cast &amp; crew|
44,113855,Paul W.S. Anderson,Christopher Lambert|Robin Shou|Linden Ashby|See full cast &amp; crew|
45,114681,Gus Van Sant,Nicole Kidman|Matt Dillon|Joaquin Phoenix|See full cast &amp; crew|
46,113347,Jocelyn Moorhouse,Winona Ryder|Ellen Burstyn|Anne Bancroft|See full cast &amp; crew|
47,114369,David Fincher,Morgan Freeman|Brad Pitt|Kevin Spacey|See full cast &amp; crew|
48,114148,Mike Gabriel,Mel Gibson|Linda Hunt|Christian Bale|See full cast &amp; crew|
49,114916,Patricia Rozema,Pascale Bussières|Rachael Crawford|Henry Czerny|See full cast &amp; crew|
50,114814,Bryan Singer,Kevin Spacey|Gabriel Byrne|Chazz Palminteri|See full cast &amp; crew|
52,113819,Woody Allen,Woody Allen|Mira Sorvino|Pamela Blair|See full cast &amp; crew|
53,110299,Gianni Amelio,Enrico Lo Verso|Michele Placido|Piro Milkani|See full cast &amp; crew|
54,112499,Holly Goldberg Sloan,Steve Guttenberg|Olivia d'Abo|Jay O. Sanders|See full cast &amp; crew|
55,113158,Ulu Grosbard,Jennifer Jason Leigh|Mare Winningham|Ted Levine|See full cast &amp; crew|
57,113321,Jodie Foster,Holly Hunter|Anne Bancroft|Robert Downey Jr.|See full cast &amp; crew|
58,110877,Michael Radford,Massimo Troisi|Philippe Noiret|Maria Grazia Cucinotta|See full cast &amp; crew|
60,113419,Frank Oz,Hal Scardino|Litefoot|Lindsay Crouse|See full cast &amp; crew|
61,116260,John Schlesinger,Sally Field|Kiefer Sutherland|Ed Harris|See full cast &amp; crew|
62,113862,Stephen Herek,Richard Dreyfuss|Glenne Headly|Jay Thomas|See full cast &amp; crew|
63,116126,Paris Barclay,Shawn Wayans|Marlon Wayans|Keenen Ivory Wayans|See full cast &amp; crew|
64,118002,Bill Bennett,Sandra Bullock|Denis Leary|Stephen Dillane|See full cast &amp; crew|
65,115683,Jason Bloom,Pauly Shore|Stephen Baldwin|William Atherton|See full cast &amp; crew|
66,116839,Farhad Mann,Patrick Bergin|Matt Frewer|Austin O'Brien|See full cast &amp; crew|
68,113149,Josiane Balasko,Victoria Abril|Josiane Balasko|Alain Chabat|See full cast &amp; crew|
69,113118,F. Gary Gray,Ice Cube|Chris Tucker|Nia Long|See full cast &amp; crew|
70,116367,Robert Rodriguez,Harvey Keitel|George Clooney|Juliette Lewis|See full cast &amp; crew|
71,113010,Andrew Sipes,William Baldwin|Cindy Crawford|Steven Berkoff|See full cast &amp; crew|
72,113537,Noah Baumbach,Josh Hamilton|Eric Stoltz|Samuel Gould|See full cast &amp; crew|
73,113828,Claude Lelouch,Jean-Paul Belmondo|Michel Boujenah|Alessandra Martines|See full cast &amp; crew|
74,115644,Michael Goldenberg,Christian Slater|Mary Stuart Masterson|Pamela Adlon|See full cast &amp; crew|
75,115676,Steve Miner,Rick Moranis|Tom Arnold|Julianne Phillips|See full cast &amp; crew|
76,114367,Christian Duguay,Peter Weller|Roy Dupuis|Jennifer Rubin|See full cast &amp; crew|
77,113973,Susanne Ofteringer,Nico|Tina Aumont|Christian Päffgen|See full cast &amp; crew|
78,112744,Sean Penn,Jack Nicholson|David Morse|Anjelica Huston|See full cast &amp; crew|
79,116731,Brian Gibson,Demi Moore|Alec Baldwin|Joseph Gordon-Levitt|See full cast &amp; crew|
80,112445,Jafar Panahi,Aida Mohammadkhani|Mohsen Kafili|Fereshteh Sadre Orafaiy|See full cast &amp; crew|
81,114660,Gary Fleder,Andy Garcia|Christopher Walken|Christopher Lloyd|See full cast &amp; crew|
82,112379,Marleen Gorris,Willeke van Ammelrooy|Jan Decleir|Veerle van Overloop|See full cast &amp; crew|
83,114039,Tim Reid,Al Freeman Jr.|Phylicia Rashad|Leon|See full cast &amp; crew|
85,112365,Philip Haas,Mark Rylance|Kristin Scott Thomas|Patsy Kensit|See full cast &amp; crew|
86,118158,Ridley Scott,Jeff Bridges|Caroline Goodall|John Savage|See full cast &amp; crew|
87,116151,Ken Kwapis,Jason Alexander|Faye Dunaway|Eric Lloyd|See full cast &amp; crew|
88,115697,Penelope Spheeris,Chris Farley|David Spade|Tim Matheson|See full cast &amp; crew|
89,113972,John Badham,Johnny Depp|Christopher Walken|Courtney Chase|See full cast &amp; crew|
92,117002,Stephen Frears,Julia Roberts|John Malkovich|George Cole|See full cast &amp; crew|
93,114825,Wes Craven,Eddie Murphy|Angela Bassett|Allen Payne|See full cast &amp; crew|
94,115639,Ted Demme,Matt Dillon|Timothy Hutton|Noah Emmerich|See full cast &amp; crew|
95,115759,John Woo,John Travolta|Christian Slater|Samantha Mathis|See full cast &amp; crew|
96,113403,Kenneth Branagh,Michael Maloney|Richard Briers|Hetta Charnley|See full cast &amp; crew|
97,113247,Mathieu Kassovitz,Vincent Cassel|Hubert Koundé|Saïd Taghmaoui|See full cast &amp; crew|
99,113283,Nick Broomfield,Nick Broomfield|Nina Xining Zuo|Madam Alex|See full cast &amp; crew|
100,115907,Harold Becker,Al Pacino|John Cusack|Bridget Fonda|See full cast &amp; crew|
101,115734,Wes Anderson,Luke Wilson|Owen Wilson|Ned Dowd|See full cast &amp; crew|
102,117102,Nick Castle,Ellen DeGeneres|Bill Pullman|Joan Cusack|See full cast &amp; crew|
103,118040,John Dahl,Ray Liotta|Linda Fiorentino|Peter Coyote|See full cast &amp; crew|
104,116483,Dennis Dugan,Adam Sandler|Christopher McDonald|Julie Bowen|See full cast &amp; crew|
105,112579,Clint Eastwood,Clint Eastwood|Meryl Streep|Annie Corley|See full cast &amp; crew|
106,110251,Doris Dörrie,Maria Schrader|Pierre Sanoussi-Bliss|Michael von Au|See full cast &amp; crew|
107,117110,Brian Henson,Tim Curry|Billy Connolly|Jennifer Saunders|See full cast &amp; crew|
108,112646,Robert Leacock,Christy Turlington|Azzedine Alaïa|Giorgio Armani|See full cast &amp; crew|
110,112573,Mel Gibson,Mel Gibson|Sophie Marceau|Patrick McGoohan|See full cast &amp; crew|
